Month,Location 1 ,Location 2,Average Generation,"windgust - 27.5, -97.82","winddir - 27.5, -97.82","windspeed - 27.5, -97.82","windgust - 27.55, -97.88","winddir - 27.55, -97.88","windspeed - 27.55, -97.88","windgust - 27.7, -97.5","winddir - 27.7, -97.5","windspeed - 27.7, -97.5"
Nov-12,34976,40034,37505,42.06818,106.8367,25.1,42.17727,107.27,24.49,47.92273,98.10667,28.32667
Dec-12,50537,56883,53710,44.45833,155.371,27.06452,44.4625,157.3645,26.62581,49.54615,147.9742,31.95161
Jan-13,46635,58110,52372.5,41.75172,199.4903,28.85806,41.91724,200.6806,28.54516,47.78889,145.7806,32.70323
Feb-13,43107,50429,46768,45.10417,127.8214,30.93214,45.72083,128.1607,30.30714,50.00385,121.875,33.99643
Mar-13,63320,71908,67614,48.08065,153.5484,32.99355,48.10323,153.7903,32.68065,51.43226,120.529,37.58387
Apr-13,59427,65114,62270.5,48.6069,111.1567,34.37333,49.01724,111.0833,33.81,53.02,111.41,37.82667
May-13,67200,73305,70252.5,49.10323,141.2968,32.90968,49.04839,141.3226,32.47097,50.8871,143.9129,38.1871
Jun-13,49500,51033,50266.5,45.26,137.84,30.93333,45.22333,140.4633,30.28,49.83667,142.6667,34.23667
Jul-13,47164,53063,50113.5,44.00968,130,30.25484,44.25806,128.3387,29.41613,43.19355,130.8871,30.65806
Aug-13,37813,40367,39090,43.00968,120.9355,27.90645,42.78065,119.6387,27.33871,41.12581,121.4581,29.26129
Sep-13,28153,34161,31157,42.58519,137.9467,24.78667,42.77037,137.7233,23.93667,46.444,122.4533,26.79667
Oct-13,35767,38417,37092,39.4069,147.1,26.10645,39.42069,147.7452,25.67419,41.95417,125.3806,28.72903
Nov-13,42155,50817,46486,41.648,127.89,26.15667,41.612,128.17,25.65,46.1,107.6367,31.19
Dec-13,36852,42528,39690,44.97222,155.5645,23.81613,45.22222,144.3032,23.44516,48.19444,120.5871,27.90645
Jan-14,47573,55228,51400.5,43.525,166.1516,28.49355,43.26429,166.9129,27.90323,47.34074,145.5258,31.35806
Feb-14,43976,49787,46881.5,43.38,147.2643,29.13214,43.472,134.6857,28.46071,45.7875,107.9679,31.07143
Mar-14,52900,61919,57409.5,44.17778,151.6774,30.30323,44.44815,152.2065,29.52581,47.53846,131.2065,31.95484
Apr-14,59400,69161,64280.5,46.69667,119.61,32.75,46.42333,119.78,32.04667,50.11034,113.6567,34.54333
May-14,65273,73244,69258.5,47.74286,152.1581,32.75806,47.53929,152.3871,31.93226,50.77857,157.2129,34.49032
Jun-14,65413,74543,69978,49.32,138.5533,36.18667,49.43,138.56,35.03,49.09333,145.0167,35.88667
Jul-14,43430,46185,44807.5,47.24516,137.1323,31.6871,47.1871,136.4516,31.0871,45.47,140.5097,31.97097
Aug-14,43924,48845,46384.5,46.46667,126.0194,32.86129,46.16667,125.8871,31.9,43.24286,131.571,32.20323
Sep-14,29700,34618,32159,39.45172,97.99667,27.71333,39.29655,98.51667,26.82667,38.91071,95.40667,27.5
Oct-14,33130,37994,35562,41.5037,121.9097,24.95161,41.63333,122.4935,24.30968,39.81786,126.9581,25.68065
Nov-14,49694,57196,53445,47.53043,144.2367,28.02,48.0087,144.43,27.4,49.12593,149.3633,30.86
Dec-14,37354,43523,40438.5,42.275,122.7806,26.00645,42.08333,120.2161,25.52258,45.45,116.3,29.26774
Jan-15,38035,43666,40850.5,43.88261,174.5806,24.8129,43.8913,175.7677,24.25484,44.405,145.5129,27.84839
Feb-15,39245,45566,42405.5,45.96364,152.7464,28.3,46.03182,153.1821,27.60357,47.50435,91.62857,32.29643
Mar-15,31110,36440,33775,46.3625,160.0613,23.97419,46.43125,149.1871,23.49032,47.6,157.3129,28.33871
Apr-15,40392,46778,43585,57.13333,149.69,29.32333,58.26667,150.0633,28.56333,55.55652,145.2533,34.42333
May-15,68326,74994,71660,52.55161,124.071,32.15161,52.51935,124.5548,31.31613,54.87667,131.6968,35.90645
Jun-15,32643,35227,33935,43.32414,141.4967,27.45333,43.55862,141.72,26.55333,41.55517,147.57,27.18333
Jul-15,57020,63394,60207,48.73226,142.6581,32.75806,48.54194,142.8258,31.92581,46.69032,154.2065,33.10968
Aug-15,35177,38644,36910.5,44.94516,127.7355,29.16452,44.63871,127.2258,28.5129,43.0871,131.5742,30.22258
Sep-15,22878,24290,23584,46.49333,110.8033,26.74667,46.44667,111.23,26.10333,41.96429,107.17,27.20667
Oct-15,34175,40542,37358.5,47.92069,140.6677,27.06452,47.63448,129.671,26.07419,41.98077,122.5355,28.31613
Nov-15,39156,47229,43192.5,46.82963,147.7133,26.16,47.01111,147.8533,25.73667,42.76087,126.9367,29.89667
Dec-15,45137,53584,49360.5,50.75926,128.1032,26.84194,50.74074,140.1419,26.24194,48.5087,120.1032,31.92581
Jan-16,40372,46496,43434,47.96923,177.0258,25.95161,47.97308,178.2484,25.55161,50.74211,145.9032,28.40645
Feb-16,50395,56607,53501,48.21429,168.8621,30.75862,48.22857,156.5586,30.05862,47.73929,163.6,33.71034
Mar-16,50604,56410,53507,45.77037,135.1581,28.42581,45.92222,134.7226,27.67419,51.36,136.6581,32.87419
Apr-16,43727,49561,46644,47.3,107.3533,29.09667,46.83333,107.2667,28.44667,46.31,117.1833,31.2
May-16,44037,26408,35222.5,49.0069,101.3774,29.26774,49.05172,101.3645,28.32258,46.23571,114.3097,30.16452
Jun-16,27640,28637,28138.5,45.14667,131.6433,26.76333,45.53,130.6767,26.14,40.88929,133.8067,25.83333
Jul-16,65102,70135,67618.5,52.47742,137.2129,35.22258,52.52903,137.1742,34.28387,47.57742,146.5226,33.43548
Aug-16,38713,42718,40715.5,43.86452,117.7677,28.66129,43.68065,117.9161,27.92581,42.72258,125.4,29.17419
Sep-16,22307,23868,23087.5,41.12917,120.7233,25.57333,41.13333,121.7633,24.7,38.25217,94.58333,24.67
Oct-16,18421,24779,21600,38.78462,82.58387,22.95484,38.68462,82.92581,22.43226,39.07778,91.82581,26.14839
Nov-16,32994,36124,34559,39.584,142.28,25.51,39.584,142.55,24.86,43.62273,98.94333,28.05333
Dec-16,41379,47524,44451.5,43.905,150.5774,26.21935,43.165,151.7903,25.39677,48.35714,124.1258,29.54194
Jan-17,46193.62,62560,54376.81,47.37778,160.7323,31.75161,47.06296,162.1097,30.80968,50.91111,164.0839,34.9871
Feb-17,45725.85,58561,52143.425,45.18889,139.0107,31.45,45.1,139.6607,30.61071,47.55926,144.4429,33.91429
Mar-17,55407.64,56957,56182.32,47.38,127.4,32.86774,47.55,126.729,31.97097,50.03333,135.6677,36.28065
Apr-17,54145.05,57201,55673.025,48.62069,147.47,33.54333,48.58621,148.0267,32.63667,50.34667,149.58,36.62667
May-17,48363.85,59233,53798.425,47.08966,136.6387,31.03548,47.05862,137.0677,30.27742,48.91,132.5903,32.42581
Jun-17,36966.68,39098,38032.34,42.39655,135.8667,29.37667,42.27241,136.1433,28.42,43.11111,145.6967,25.84
Jul-17,34246.66,44894,39570.33,44.81613,139.1194,29.8,45.00323,139.6065,29.01935,41.29032,145.4194,28.20968
Aug-17,28101.94,41164,34632.97,48.26774,163.3226,33.46452,47.85484,163.3548,32.64516,46.74194,165.2613,32.80323
Sep-17,35679.16,32530,34104.58,39.65517,103.51,26.55667,39.44483,103.62,25.91667,38.32857,109.09,27.03333
Oct-17,44365.81,33786,39075.905,38.41786,128.071,25.93226,39.39643,128.2839,25.42581,44.01786,94.23871,27.91613
Nov-17,42863.97,40290,41576.985,37.516,148.7633,25.97333,37.46,149.9733,24.98,42.94545,106.0867,28.08667
Dec-17,38153.78,41168,39660.89,43.28947,148.4161,24.93871,43.42632,137.7323,24.20323,49.08947,118.1258,29.01935
Jan-18,46929.15,43903,45416.075,41.444,152.9484,27.21935,41.98,130.7935,26.64839,47.48182,126.1065,30.88065
Feb-18,42917.79,52990,47953.895,45.87619,110.6714,29.07857,46.30952,111.6643,28.40357,51.69545,109.1607,33.4
Mar-18,51213.79,63116,57164.895,44.33333,125.0065,30.02581,44.56667,126.1452,29.5,48.26667,119.229,34.56452
Apr-18,53050.73,61917,57483.865,45.48,113.1333,32.02,45.67,113.8967,31.46667,49.89333,105.97,36.61
May-18,54095.93,56509,55302.465,43.91,127.2355,31.4,44,127.471,30.77742,43.95333,135.9129,30.55484
Jun-18,54213.58,62867,58540.29,44.91379,136.5433,32.97,44.63793,136.73,31.93,44.45333,143.7933,30.04667
Jul-18,32752.96,35581,34166.98,41.12,143.029,28.27097,40.78333,143.1968,27.32903,38.99667,148.9161,25.62258
Aug-18,41815.09,52567,47191.045,44.16552,133.1839,30.25161,44.1069,133.7097,29.46129,42.73,140.4032,30.17742
Sep-18,29279.18,23583,26431.09,40.5037,113.3833,25.17,40.43704,113.68,24.15333,42.98696,120.9733,24.67333
Oct-18,39010.61,44070,41540.305,40.292,176.3,24.74516,40.04,165.5935,24.15484,42.464,162.7419,26.74839
Nov-18,42134.19,42473,42303.595,39.25833,180.96,26.88333,39.425,182.3867,26.02333,44.25217,145.86,28.60667
Dec-18,44399.01,53557,48978.005,44.02857,177.1194,27.45161,45.54762,177.2516,26.73548,53.21053,177.4194,30.48387
Jan-19,46058.36,47060,46559.18,43.75909,156.7774,27.93226,45.45652,157.2839,27.46774,53.165,145.5032,31.14839
Feb-19,44162.58,36175,40168.79,40.8875,105.3571,25.24286,43.29375,105.8607,24.73929,48.12667,117.475,29.3
Mar-19,43680,51679,47679.5,46.89545,107.729,28.54516,48.42174,108.0323,28.16452,53.80455,92.65484,32.21935
Apr-19,50852.22,57634,54243.11,47.852,158.96,31.44333,49.08077,159.7,30.94667,55.16957,168.5933,33.55333
May-19,49655.14,66126,57890.57,47.91333,119.0645,31.61935,47.75,119.4516,30.94839,48.17667,128.4516,34.00323
Jun-19,39353.98,43063,41208.49,43.08571,115.4333,29.42333,44.01071,116.0767,28.34667,43.05556,131.3967,28.36667
Jul-19,40740.53,49643,45191.765,46.16774,130.0903,31.86774,46.24194,129.8935,30.75484,43.43,146.7194,29.14194
Aug-19,39155.87,49310,44232.935,44.5871,137.1484,31.2871,44.84194,137.6419,30.62903,42.5,143.0419,29.03548
Sep-19,38202.03,36666,37434.015,43.63667,116.1833,29.89333,43.74333,117.0033,28.73,43.34667,115.4633,27.97333
Oct-19,43695.01,44308,44001.505,42.20714,129.0645,27.05806,42.88214,129.2516,26.69355,45.92857,116.8,30.10968
Nov-19,40535.81,38129,39332.405,44.35,170.1967,27.04333,44.33182,171.1033,26.45,45.30455,129.7867,29.17667
Dec-19,41725.48,37198,39461.74,40.95238,154.5097,23.62258,40.42857,143.6903,22.98387,43.67778,113.9484,27.17097
Jan-20,44950.74,47895,46422.87,42.03214,173.7806,28.85806,41.98571,174.6548,28.11613,42.93333,168.0355,31.06452
Feb-20,43516.48,54936,49226.24,45.7037,160.6793,30.34828,45.52593,161.8069,29.81724,48.18519,148.3207,34.64828
Mar-20,43320.78,59332,51326.39,45.60645,132.0581,32.70645,45.89355,132.271,32.30645,50.06129,139.3871,38.06129
Apr-20,43616.38,45749,44682.69,43.62069,101.0333,29.46667,43.51379,100.33,28.72333,46.20741,111.1167,31.45
May-20,45467.16,53148,49307.58,48.75,131.1613,31.14516,49.41667,120.0484,30.06452,47.72414,129.7742,32.71935
Jun-20,47848.16,37485,42666.58,42.68571,118.65,26.07667,42.52857,119.8033,25.38333,44.46538,130.74,27.21
Jul-20,39384.56,49215,44299.78,45.64516,129.571,30.5129,45.58065,129.6871,29.55161,45.08333,136.4355,30.04839
Aug-20,36158.13,33046,34602.065,43.35806,131.6548,27.15484,44.12581,129.2484,26.40323,43.71786,129.2065,27.09677
Sep-20,29414.21,39996,34705.105,44.575,213.3,25.99667,45.4875,214.57,25.34667,51.436,128.4867,27.61
Oct-20,41463.65,31438,36450.825,38.00333,127.5645,25.18065,37.91333,127.8032,24.51935,39.46071,131.9839,27.77419
Nov-20,42064.8,29573,35818.9,38.876,108.3567,25.84,38.88,107.6767,25.09667,39.74583,112.9333,28.12
Dec-20,44801.96,38557,41679.48,43.576,218.3032,28.40645,43.328,219.4452,27.60645,48.96957,195.8774,30.54839
Jan-21,36674.27,36230,36452.135,41.38333,180.0677,26.89677,42.27083,180.4032,26.21935,45.25217,147.1839,29.17097
Feb-21,29172.84,27735,28453.92,42.62963,152.7821,30.46071,42.72593,153.0714,29.68571,46.63704,131.4929,33.98929
Mar-21,50048.5,35679,42863.75,47.20667,136.7774,32.69677,47.83667,137.5516,32.13871,49.14667,117.2194,35.8
Apr-21,43413.77,47357,45385.385,44.86897,112.4033,31.07333,45.03103,111.73,30.42667,47.66552,100.05,32.84667
May-21,43590.42,47258,45424.21,45.41,113.0548,32.06774,45.38333,112.7387,31.35161,46.46333,113.8452,29.82581
Jun-21,32728.03,30970,31849.015,43.60385,116.3133,27.46,43.82308,127.0033,26.49667,42.54444,129.0533,24.17667
Jul-21,25074.04,28064,26569.02,39.6069,144.3387,26.87097,39.5931,141.9935,25.81935,38.28,138.3484,23.63871
Aug-21,32800.32,30061,31430.66,41,140.0839,28.2871,40.89677,139.171,27.20645,39.04828,133.2065,26.77742
Sep-21,31099.21,24715,27907.105,40.67143,109.7367,26.79667,40.65714,108.9667,25.75,39.72069,111.1133,27.19
Oct-21,38731.69,33691,36211.345,41.01429,131.3484,26.08387,41.30952,130.7032,25.44839,44.68696,136.5742,27.26774
Nov-21,37805.75,30672,34238.875,37.736,99.45333,25.75667,38.10385,98.84,24.91667,44.67083,97.87667,28.34
Dec-21,42938.16,51826,47382.08,45.48636,141.2258,28.87742,45.69091,129.4516,28.10645,48.74545,128.7355,32.18387
Jan-22,,38962,38962,41.1,130.3871,26.97742,40.52143,130.4355,26.10968,44.6,130.5097,30.98387
Feb-22,,33951,33951,41.89643,135.5929,28.58571,42.33929,136.4107,27.97857,44.28929,117.0357,32.375
Mar-22,,57343,57343,50.04194,137.0065,34.83548,50.57419,136.6161,34.30968,54.03548,145.2484,38.26452
Apr-22,,75043,75043,51.39667,136.16,36.60667,51.72,135.5967,35.85,55.39,124.1267,40.08667
May-22,,69771,69771,50.45806,147.5065,35.56452,50.57097,147.4065,34.80323,54.70645,152.0065,37.60645
Jun-22,,47907,47907,45.72667,132.8633,31.09333,46.06333,132.5333,30.57,44.79,132.1333,29.94667
Jul-22,,57792,57792,48.63226,147.0968,34.31613,48.56774,146.5548,33.59677,49.17097,149.8065,31.84516
Aug-22,,40392,40392,52.76774,136.2419,30.59677,54.46452,134.1065,29.75161,54.01935,134.2839,28.45806
Sep-22,,10962,10962,34.71,115.34,21.13,34.66,114.6133,20.63,32.09,92.85667,21.81
Oct-22,,34476,34476,37.20968,125.8839,25.64839,37.38065,136.8871,25.05161,44.07419,121.1323,28.50323
Nov-22,,49618,49618,44.15333,102.1967,26.91667,43.91667,102.22,26.48667,48.02667,92.56667,32.44667
Dec-22,,33657,33657,37.50968,138.2774,26.06452,37.00645,137.1161,25.6871,44.01935,136.6645,29.9871
Jan-23,,43756,43756,40.08387,131.5129,28.97097,39.76129,130.9065,28.30323,46.02258,122.5806,31.73226
Feb-23,,41144,41144,44.01429,177.8571,31.93571,45.21071,177.1036,31.45357,51.45,158.8679,36.26071
Mar-23,,54262,54262,51.2871,125.5194,34.56774,51.56774,136.8226,34.04194,57.11613,126.6613,39.57419
Apr-23,,46386,46386,45.98,121.1433,30.10667,46.19667,120.3333,29.02667,46.85333,108.4833,29.72667
May-23,,27333,27333,39.42258,106.8097,25.2871,39.49355,105.2226,24.3129,39.80968,125.8774,23.76452
Jun-23,,53126,53126,49.09333,142.8567,31.65,49.25333,142.08,30.59333,44.63333,146.03,28.76333
Jul-23,,51962,51962,48.86774,148.2903,32.44194,48.53871,147.7258,31.82581,47.20645,147.3581,31.57097
